Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",113.5000,-38.5000,0.0000,top
"C2","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",127.0000,-39.0000,-90.0000,top
"C3","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",140.5000,-39.0000,-90.0000,top
"C4","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",153.5000,-39.0000,-90.0000,top
"C5","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",166.0000,-49.0000,180.0000,top
"C6","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",163.8625,-54.0000,180.0000,top
"C7","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",164.0000,-67.5000,180.0000,top
"C8","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",164.0000,-80.5000,180.0000,top
"C10","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",134.0000,-76.0000,90.0000,top
"C11","CL10X106MO8NRNC","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",139.0000,-71.0000,-90.0000,top
"C12","CL10X106MO8NRNC","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",137.0000,-71.0000,-90.0000,top
"C13","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",135.0000,-71.0000,90.0000,top
"C15","2,2uF/35","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",124.5000,-73.0000,90.0000,top
"C16","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",166.0000,-105.0000,180.0000,top
"C17","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",163.8625,-110.0000,180.0000,top
"C18","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",164.0000,-123.0000,180.0000,top
"C19","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",164.0000,-136.0000,180.0000,top
"C20","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",153.5000,-148.6375,90.0000,top
"C21","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",148.5000,-146.5000,90.0000,top
"C22","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",135.0000,-146.3625,90.0000,top
"C23","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",122.0000,-146.5000,90.0000,top
"C24","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",111.0000,-144.0000,0.0000,top
"C25","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",112.0000,-131.0000,0.0000,top
